NEIGHBORID,Pet,Pet_tag,StoreCard,No_transaction,LTD,FTD,Net_Amount,No_transaction_last_sixmonth,Tenure_days,Avg_diff_btw_trans,Recency,Tenure_FTD_days,Avg_no_transaction_sixmonth,No_Coupon_Trans,LTV_margin,marketinghomestoreid,Percent_change_tenure,Segment
6182204,"Bird,Cat,Dog,Fish,Small Animal",4,False,48,2017-12-29,2015-10-24,747.02,18,797,16.60417,25,822,10.51095,4,294.0354,192,71.25,A2
6251857,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,80,2018-01-12,2015-08-16,3369.8,16,880,11.0,11,891,16.16162,10,1319.37595,66,-1.0,A1
6262276,"Bird,Dog,Fish,Reptile,Wild Bird",5,False,57,2017-12-30,2015-08-18,376.97,22,865,15.17544,24,889,11.54106,1,215.73624,9032,90.62378,A2
4393314,"Bird,Cat,Dog,Reptile,Small Animal",4,False,58,2018-01-10,2015-08-09,1081.82,18,885,15.25862,13,898,11.62584,1,358.2231,191,54.82759,A2
4441978,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,52,2018-01-12,2016-04-23,1601.93,20,629,12.09615,11,640,14.625,5,489.9972,9072,36.75214,A1
4458657,"Bird,Dog,Fish,Reptile,Small Animal,Wild Bird",5,False,65,2018-01-03,2015-08-09,2060.62,22,878,13.50769,20,898,13.02895,2,913.10645,72,68.8547,A1
4487360,"Bird,Cat,Dog,Wild Bird",4,False,97,2018-01-09,2015-08-01,4206.17,18,892,9.19588,14,906,19.27152,37,495.92168,20,-6.59794,A2
4487881,"Bird,Cat,Dog,Small Animal",4,False,94,2018-01-07,2015-08-04,2660.99,21,887,9.43617,16,903,18.73754,12,803.07521,128,12.07447,A1
4503101,"Cat,Dog,Small Animal,Wild Bird",4,False,60,2018-01-09,2016-01-02,2815.76,21,738,12.3,14,752,14.3617,13,901.43058,166,46.22222,A1
4504990,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,96,2018-01-02,2015-07-27,2971.59,16,890,9.27083,21,911,18.96817,21,806.24187,9013,-15.64815,A1
4587793,"Cat,Dog,Reptile,Wild Bird",4,False,69,2018-01-09,2015-08-08,4431.75,16,885,12.82609,14,899,13.81535,2,1567.5063,77,15.8132,A1
4595921,"Dog,Fish,Reptile,Small Animal,Wild Bird",5,False,31,2018-01-11,2015-11-18,991.38,19,785,25.32258,12,797,7.00125,6,465.68,168,171.37993,A2
4597823,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,135,2018-01-06,2015-08-22,2880.52,31,868,6.42963,17,885,27.45763,4,995.4076,24,12.90123,A1
4623946,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,71,2018-01-08,2015-07-28,3408.23,17,895,12.60563,15,910,14.04396,2,1086.597,9025,21.04851,A1
779386,"Cat,Dog,Fish,Wild Bird",4,False,49,2018-01-13,2015-07-30,4613.12,16,898,18.32653,10,908,9.71366,2,1815.6968,155,64.71655,A1
7834601,"Bird,Cat,Dog,Small Animal",4,False,32,2017-12-30,2017-03-22,812.2,21,283,8.84375,24,307,18.76221,0,477.7,4058,11.92708,A1
8000130,"Cat,Dog,Fish,Wild Bird",4,False,20,2017-12-18,2017-06-28,482.44,16,173,8.65,36,209,17.22488,0,186.51,9076,-7.11111,A1
8003687,"Bird,Cat,Fish,Reptile,Wild Bird",5,False,25,2018-01-11,2017-06-27,351.89,21,198,7.92,12,210,21.42857,2,198.0475,4097,-2.0,A1
8029682,"Bird,Cat,Dog,Reptile,Small Animal",4,False,55,2018-01-12,2017-07-05,802.5,48,191,3.47273,11,202,49.0099,3,122.02,4026,-2.06061,A2
8037582,Reptile,5,False,18,2018-01-04,2017-07-07,157.89,16,181,10.05556,19,200,16.2,1,147.51,115,-1.23457,A1
8063381,"Bird,Cat,Dog,Reptile",4,False,24,2018-01-13,2017-07-14,444.76,23,183,7.625,10,193,22.38342,0,118.14,8035,2.75463,A2
8586070,"Bird,Cat,Dog,Small Animal",4,False,138,2018-01-11,2015-11-19,2393.73,40,784,5.68116,12,796,31.20603,1,577.0642,9016,28.18035,A1
1686560,"Dog,Fish,Reptile,Small Animal",5,False,38,2018-01-13,2015-09-19,1123.28,23,847,22.28947,10,857,7.98133,2,504.44,106,188.17251,A2
1710909,"Bird,Cat,Dog,Wild Bird",4,False,100,2018-01-09,2015-07-31,1608.87,17,893,8.93,14,907,19.84564,1,511.42186,8024,-14.33889,A2
1718024,"Bird,Cat,Dog,Fish,Wild Bird",4,False,42,2017-12-27,2016-10-13,1423.84,24,440,10.47619,27,467,16.18844,8,540.18,9022,48.25397,A1
1730587,"Bird,Cat,Dog,Fish,Wild Bird",4,False,97,2018-01-13,2015-08-01,5165.34,25,896,9.23711,10,906,19.27152,14,1296.0078,53,29.72509,A1
1768511,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,84,2018-01-11,2015-09-25,3148.9,74,839,9.9881,12,851,17.76733,8,1278.9775,120,316.49471,A1
1785505,"Bird,Cat,Wild Bird",5,False,88,2018-01-09,2015-08-27,7548.29,22,866,9.84091,14,880,18.0,9,1343.74402,130,22.22222,A1
1798120,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,67,2017-12-24,2015-08-22,684.94,18,855,12.76119,30,885,13.62712,4,352.74917,87,32.08955,A2
1823722,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,237,2018-01-11,2015-07-26,5384.24,26,900,3.79747,12,912,46.77632,21,796.81875,198,-44.41632,A1
1838224,"Bird,Cat,Dog,Fish",4,False,53,2018-01-12,2017-05-15,892.54,41,242,4.56604,11,253,37.70751,2,316.44,29,8.73166,A1
1845898,"Bird,Cat,Dog,Small Animal",4,False,103,2018-01-10,2015-08-05,3469.72,22,889,8.63107,13,902,20.55432,37,945.0909,234,7.03344,A1
1872541,"Bird,Cat,Dog,Fish,Small Animal",4,False,50,2018-01-05,2015-11-11,589.23,28,786,15.72,18,804,11.19403,17,311.88772,67,150.13333,A2
1947000,"Cat,Dog,Small Animal,Wild Bird",4,False,76,2017-12-29,2015-08-04,996.78,20,878,11.55263,25,903,15.1495,2,382.93942,14,32.01754,A2
1988388,"Cat,Dog,Fish,Wild Bird",4,False,76,2018-01-11,2015-07-26,3164.75,22,900,11.84211,12,912,15.0,10,619.7409,219,46.66667,A2
2004979,"Bird,Dog,Fish,Reptile",5,False,48,2018-01-13,2016-01-14,1238.02,24,730,15.20833,10,740,11.67568,9,720.993,4087,105.55556,A1
6302166,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,45,2018-01-13,2015-09-19,1075.04,38,847,18.82222,10,857,9.45158,16,391.4671,215,302.04938,A2
6347357,"Bird,Cat,Dog,Fish,Wild Bird",4,False,151,2018-01-13,2016-04-10,2430.9,44,643,4.25828,10,653,41.62328,15,800.638,4027,5.71008,A1
2940177,"Bird,Cat,Dog,Fish,Reptile",4,False,100,2018-01-09,2015-07-26,6344.32,28,898,8.98,14,912,19.73684,1,1959.1085,8033,41.86667,A1
2978315,"Cat,Dog,Small Animal,Wild Bird",4,False,50,2017-12-28,2015-11-27,1414.74,18,762,15.24,26,788,11.42132,15,-29.5135,227,57.6,A3
3005474,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,238,2018-01-12,2015-07-29,8182.14,74,898,3.77311,11,909,47.12871,6,3659.65148,8052,57.01681,A1
6394902,"Bird,Fish,Reptile",5,False,167,2018-01-13,2015-08-03,2535.07,35,894,5.35329,10,904,33.25221,14,1330.085,9060,5.25615,A1
6452730,"Bird,Fish,Small Animal,Wild Bird",5,False,211,2018-01-11,2015-07-30,2638.32,46,896,4.24645,12,908,41.82819,0,1317.8494,8044,9.97367,A1
3036025,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,109,2018-01-07,2015-08-16,2011.69,26,875,8.02752,16,891,22.0202,6,710.20203,4098,18.07339,A1
3122296,"Cat,Dog,Small Animal,Wild Bird",4,False,117,2018-01-05,2015-07-28,2534.91,22,892,7.62393,18,910,23.14286,0,974.2704,9025,-4.93827,A1
469303,"Cat,Dog,Small Animal,Wild Bird",4,False,110,2018-01-06,2015-08-01,4414.53,18,889,8.08182,17,906,21.8543,11,963.81947,167,-17.63636,A1
4748191,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,63,2018-01-13,2015-07-31,2919.69,17,897,14.2381,10,907,12.50276,11,951.9179,187,35.97002,A1
482377,"Bird,Cat,Dog,Fish,Reptile",4,False,66,2018-01-10,2015-08-30,2301.87,20,864,13.09091,13,877,13.54618,5,835.5572,54,47.6431,A1
4832399,"Bird,Cat,Dog,Fish,Small Animal",4,False,61,2018-01-05,2015-08-20,1518.52,23,869,14.2459,18,887,12.3788,0,749.53153,197,85.80146,A1
4866641,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,74,2018-01-06,2017-01-10,2028.99,50,361,4.87838,17,378,35.2381,12,497.61,216,41.89189,A1
4896581,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,47,2018-01-07,2015-09-18,1531.79,19,842,17.91489,16,858,9.86014,9,643.5922,68,92.69504,A1
490928,"Bird,Cat,Dog,Wild Bird",4,False,66,2017-12-26,2015-07-31,1480.16,16,879,13.31818,28,907,13.09813,1,835.9,49,22.15488,A1
4929328,"Bird,Cat,Dog,Reptile,Small Animal",4,False,62,2017-12-19,2015-07-27,906.02,19,876,14.12903,35,911,12.25027,0,393.44048,222,55.09857,A2
4947503,"Fish,Reptile",5,False,31,2018-01-09,2017-04-19,133.26,16,265,8.54839,14,279,20.0,0,105.34,9061,-20.0,A2
4972487,"Bird,Cat,Fish,Wild Bird",5,False,50,2018-01-07,2017-03-20,726.53,31,293,5.86,16,309,29.12621,0,313.96,138,6.43333,A1
2023625,"Bird,Cat,Dog,Fish",4,False,88,2018-01-02,2015-08-14,3737.26,21,872,9.90909,21,893,17.73796,8,1342.57312,99,18.39015,A1
204287,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,162,2018-01-08,2015-08-02,4317.28,32,890,5.49383,15,905,32.22099,8,1161.57308,9044,-0.68587,A1
2138153,"Bird,Dog,Fish",5,False,28,2017-12-29,2016-09-17,1299.28,17,468,16.71429,25,493,10.22312,1,424.86,140,66.28968,A1
2209318,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,104,2017-12-31,2015-07-31,2382.97,17,884,8.5,23,907,20.63947,6,1111.15052,230,-17.63355,A1
867154,"Fish,Reptile",5,False,106,2018-01-10,2015-07-29,198.11,19,896,8.45283,13,909,20.9901,1,73.2,9009,-9.48113,A3
8679935,"Bird,Cat,Dog,Small Animal",4,False,16,2018-01-09,2017-09-01,495.26,16,130,8.125,14,144,20.0,3,252.64,60,-20.0,A1
8701689,"Bird,Cat,Dog,Fish,Reptile,Small Animal",4,False,72,2018-01-11,2017-09-08,1349.81,72,125,1.73611,12,137,94.59854,13,622.23,4001,-23.88889,A1
8711790,"Bird,Cat,Dog,Fish,Reptile",4,False,24,2017-12-31,2017-08-25,874.01,24,128,5.33333,23,151,28.60927,8,384.36,4055,-16.11111,A1
883825,"Bird,Dog,Fish,Reptile,Small Animal",5,False,45,2017-12-31,2015-08-15,307.55,26,869,19.31111,23,892,9.08072,0,186.5173,143,186.32099,A2
887511,"Bird,Cat,Dog,Fish",4,False,94,2018-01-13,2015-08-06,4139.55,23,891,9.47872,10,901,18.77913,22,1545.8365,38,22.47636,A1
889955,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,51,2018-01-08,2015-12-26,983.07,27,744,14.58824,15,759,12.09486,10,453.86993,148,123.23529,A2
2346903,"Cat,Dog,Fish,Reptile,Wild Bird",4,False,76,2018-01-09,2015-08-02,1210.06,20,891,11.72368,14,905,15.11602,1,313.4304,227,32.30994,A2
2388815,"Cat,Dog,Fish,Wild Bird",4,False,39,2018-01-05,2015-08-29,866.85,26,860,22.05128,18,878,7.99544,8,270.9564,65,225.18519,A2
6508314,"Bird,Cat,Dog,Fish,Small Animal",4,False,56,2018-01-13,2015-07-30,3514.1,16,898,16.03571,10,908,11.10132,2,1440.2518,9059,44.12698,A1
6563038,"Bird,Dog,Fish,Reptile,Small Animal",5,False,75,2018-01-13,2016-11-28,1463.75,36,411,5.48,10,421,32.06651,1,773.45,8051,12.26667,A1
6597851,"Bird,Dog,Fish,Reptile",5,False,65,2017-12-23,2017-02-09,572.23,18,317,4.87692,31,348,33.62069,19,288.88,4091,-46.46154,A1
660153,"Cat,Small Animal",5,False,51,2018-01-12,2015-10-17,1033.3,27,818,16.03922,11,829,11.07358,19,330.7087,9043,143.82353,A2
668198,"Cat,Dog,Small Animal,Wild Bird",4,False,132,2018-01-07,2015-08-02,7033.83,27,889,6.73485,16,905,26.25414,40,2492.0953,123,2.84091,A1
6682225,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,109,2018-01-12,2016-12-22,2646.59,59,386,3.54128,11,397,49.42065,2,1168.76,240,19.38328,A1
6714186,"Bird,Cat,Dog,Small Animal,Wild Bird",4,False,99,2018-01-08,2015-08-02,2616.41,20,890,8.9899,15,905,19.69061,19,943.451,63,1.57127,A1
6743769,"Bird,Cat,Dog,Fish,Wild Bird",4,False,78,2018-01-11,2016-09-23,2354.42,42,475,6.08974,12,487,28.82957,32,994.65154,249,45.68376,A1
6829894,"Cat,Dog,Fish,Small Animal,Wild Bird",4,False,67,2018-01-13,2016-05-19,2937.99,21,604,9.01493,10,614,19.64169,27,981.7316,9052,6.91542,A1
6833747,"Bird,Cat,Dog,Fish",4,False,39,2018-01-11,2016-07-20,828.97,20,540,13.84615,12,552,12.71739,0,332.12,9031,57.26496,A2
6837075,"Cat,Small Animal,Wild Bird",5,False,43,2018-01-10,2016-06-13,873.32,17,576,13.39535,13,589,13.14092,1,406.14,9038,29.36693,A2
6845995,"Dog,Fish,Reptile,Small Animal",5,False,49,2018-01-07,2015-10-20,668.18,16,810,16.53061,16,826,10.67797,0,259.46,102,49.84127,A2
6890668,"Bird,Cat,Dog,Fish,Small Animal,Wild Bird",4,False,87,2018-01-11,2016-02-23,1417.57,17,688,7.90805,12,700,22.37143,19,443.95033,9043,-24.01022,A2
3203873,"Bird,Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,93,2017-11-21,2015-12-13,379.97,34,709,7.62366,63,772,21.68394,1,185.81196,230,56.79809,A2
3207065,"Bird,Cat,Dog,Reptile,Small Animal,Wild Bird",4,False,135,2018-01-11,2015-08-09,3153.51,30,886,6.56296,12,898,27.06013,5,1240.48875,115,10.8642,A1
3215925,"Bird,Cat,Dog,Wild Bird",4,False,49,2018-01-11,2015-08-12,1903.95,18,883,18.02041,12,895,9.85475,1,797.5867,9048,82.65306,A1
3225925,"Cat,Dog,Fish,Reptile,Small Animal,Wild Bird",4,False,52,2018-01-06,2017-04-08,504.18,30,273,5.25,17,290,32.27586,15,316.93,4070,-7.05128,A1
